Nombre,Tipo,DET,FTR/RET,Complejidad,PF
User,ILF,7,1,LOW,7
DocumentType,ILF,3,1,LOW,7
createUserDocumentType,EI,4,2,LOW,3
updateUserDocumentType,EI,5,2,MEDIUM,4
removeUserDocumentType,EI,2,2,LOW,3
getAllUserDocumentType,EQ,4,2,HIGH,6
Member,ILF,7,2,LOW,7
createMember,EI,7,1,LOW,3
updateMember,EI,7,1,LOW,3
deleteMember,EI,1,2,LOW,3
getMember,EQ,8,1,LOW,3
addMember,EI,2,2,LOW,3
getAllMember,EQ,3,2,HIGH,6
removeMember,EI,2,2,LOW,3
addMember,EI,2,2,LOW,3
getAllMember,EQ,3,2,HIGH,6
removeMember,EI,2,2,LOW,3
addMember,EI,2,2,LOW,3
getAllMember,EQ,3,2,HIGH,6
removeMember,EI,2,2,LOW,3
Referee,ILF,8,1,LOW,7
createReferee,EI,8,1,LOW,3
updateReferee,EI,8,1,LOW,3
deleteReferee,EI,1,1,LOW,3
getReferee,EQ,9,1,LOW,3
Address,ILF,4,1,LOW,7
createMemberAddress,EI,5,2,MEDIUM,4
updateMemberAddress,EI,6,2,MEDIUM,4
removeMemberAddress,EI,2,2,LOW,3
getAllMemberAddress,EQ,5,2,MEDIUM,4
addMemberAddress,EI,2,2,LOW,3
getAllMemberAddress,EQ,3,2,HIGH,6
removeMemberAddress,EI,2,2,LOW,3
Sport,ILF,4,1,LOW,7
createSport,EI,4,1,LOW,3
updateSport,EI,4,1,LOW,3
deleteSport,EI,1,1,LOW,3
getSport,EQ,5,1,LOW,3
City,ILF,3,1,LOW,7
createCity,EI,3,1,LOW,3
updateCity,EI,3,1,LOW,3
deleteCity,EI,1,1,LOW,3
getCity,EQ,4,1,LOW,3
addCity,EI,2,2,LOW,3
getAllCity,EQ,3,2,HIGH,6
removeCity,EI,2,2,LOW,3
Country,ILF,3,1,LOW,7
createCountry,EI,3,1,LOW,3
updateCountry,EI,3,1,LOW,3
deleteCountry,EI,1,1,LOW,3
getCountry,EQ,4,1,LOW,3
Stadium,ILF,3,1,LOW,7
createStadium,EI,3,1,LOW,3
updateStadium,EI,3,1,LOW,3
deleteStadium,EI,1,1,LOW,3
getStadium,EQ,4,1,LOW,3
addStadium,EI,2,2,LOW,3
getAllStadium,EQ,3,2,HIGH,6
removeStadium,EI,2,2,LOW,3
ChampionShip,ILF,4,3,LOW,7
createChampionShip,EI,4,1,LOW,3
updateChampionShip,EI,4,1,LOW,3
deleteChampionShip,EI,1,3,MEDIUM,4
getChampionShip,EQ,5,1,LOW,3
addChampionShip,EI,2,2,LOW,3
getAllChampionShip,EQ,3,2,HIGH,6
removeChampionShip,EI,2,2,LOW,3
addChampionShip,EI,2,2,LOW,3
getAllChampionShip,EQ,3,2,HIGH,6
removeChampionShip,EI,2,2,LOW,3
addChampionShip,EI,2,2,LOW,3
getAllChampionShip,EQ,3,2,HIGH,6
removeChampionShip,EI,2,2,LOW,3
Prize,ILF,2,1,LOW,7
createChampionShipPrize,EI,3,2,LOW,3
updateChampionShipPrize,EI,4,2,LOW,3
removeChampionShipPrize,EI,2,2,LOW,3
getAllChampionShipPrize,EQ,3,2,HIGH,6
Record,ILF,3,1,LOW,7
createChampionShipRecord,EI,4,2,LOW,3
updateChampionShipRecord,EI,5,2,MEDIUM,4
removeChampionShipRecord,EI,2,2,LOW,3
getAllChampionShipRecord,EQ,4,2,HIGH,6
addChampionShipRecord,EI,2,2,LOW,3
getAllChampionShipRecord,EQ,3,2,HIGH,6
removeChampionShipRecord,EI,2,2,LOW,3
MeasureUnit,ILF,3,1,LOW,7
createMeasureUnit,EI,3,1,LOW,3
updateMeasureUnit,EI,3,1,LOW,3
deleteMeasureUnit,EI,1,1,LOW,3
getMeasureUnit,EQ,4,1,LOW,3
